Sr.No,Headline,Label
103, Rahul Gandhi Announces Robot Politicians,FAKE
104,DNA Special: Detailed analysis of Rahul Gandhi's claim of throwing Chinese Army out in 15 minutes,REAL
105,"Aarey metro car shed relocated to Kanjurmarg, land to be available free of cost: Uddhav Thackeray",REAL
106,Rahul Gandhi Announces Mandatory Mars Training,FAKE
107,Woman dies in freak accident in Hyderabad after hair gets stuck in go-kart wheel,REAL
108,"Noida's Jewar International Airport will open floodgates of development in western Uttar Pradesh, here's how",REAL
109,Bangalore Authorities Discover Teleportation Hub,FAKE
110,"As COVID-19 cases surge among teachers, 3-week holiday for Karnataka schools from October 12-30",REAL
111,"Minor raped at Jhansi Polytechnic College, incident filmed by 10-12 students",REAL
112,SWAMITVA scheme: PM Modi launches physical distribution of property cards; 6 things to know,REAL
113,India Bans Smartphones Nationwide,FAKE
114,Mumbai Authorities Discover Alien Embassy,FAKE
115, Kolkata to Host World War III Summit in 2025,FAKE
116,Amitabh Bachchan Claims Moon Landing Hoax,FAKE
117,Last rites of Ram Vilas Paswan performed in Patna with full state honours,REAL
118,"Mumbai Police exposes racket to manipulate TRPs, two arrested; Republic TV on its radar",REAL
119,India to Build a Floating City by 2024,FAKE
120,"WHO praises India's Aarogya Setu app, says it helped in identifying COVID-19 clusters",REAL
121,"In an attempt to check rising price of pulses, Centre to offer ÔuradÕ, ÔturÕ at subsidised rates  ",REAL
122,"India reports 70,496 new cases, 964 deaths; tally breaches 69 lakh-mark",REAL
123,"Book, cancel train tickets 5 minutes before departure; new rule comes into effect October 10",REAL
124,Delhi to Host Hologram Elections in 2024,FAKE
125, India to Build a Floating City by 2027,FAKE
126,India believes indigenous defence capabilities are foundations to peace: Rajnath Singh,REAL
127,"Reforms in education, labour, agriculture impact almost every Indian: PM Modi",REAL
128, India to Ban All Private Vehicles by 2029,FAKE
129,SVAMITVA scheme: PM Modi to launch physical distribution of property cards on Oct 11,REAL
130,Chennai Authorities Discover Alien Embassy,FAKE
131,Rahul Gandhi Claims Moon Landing Hoax,FAKE
132, Mumbai Authorities Discover Dinosaur DNA in Ganges,FAKE
133, Ambani Announces Free Jetpacks for All,FAKE
134,"Defence Minister Rajnath Singh inaugurates 44 strategic bridges built by BRO, 7 in Ladakh alone",REAL
135,"Amid tight security, Hathras victim's family leave for Lucknow to appear before bench of Allahabad High Court",REAL
136,Students Plans to Teleport to Moon,FAKE
137,"Railway Ministry's private player train project receives 120 applications for 12 clusters, check full details",REAL
138,"Renewal of International driving licence to become easier, Centre mulls changes in Motor Vehicles rules 1989",REAL
139,"Amid COVID-19 crisis, Maharashtra becomes first state to regulate prices of masks",REAL
140, Ambani Announces Mandatory Mars Training,FAKE
141, Army Plans to Erase Poverty in 1 Day,FAKE
142,India Achieves Zero Poverty in 2024,FAKE
143,"Rajasthan temple priest set on fire in Karauli over land dispute, accused arrested",REAL
144,Indian exports to Armenia increased three-fold in past three years,REAL
145, Chennai Authorities Discover Dinosaur DNA in Ganges,FAKE
146,Kolkata to Host Intergalactic Cricket League in 2025,FAKE
147,"President, PM Modi, others pay last respects to former minister Ram Vilas Paswan",REAL
148,Jammu and Kashmir: Top LeT terrorist Saifullah killed in encounter with security forces,REAL
149,'No God says to celebrate a festival ostentatiously' : Harsh Vardhan warns against large congregations amidst pandemic,REAL
150,Seven Indians kidnapped in Libya in September released,REAL
151,India to Build a Floating City by 2027,FAKE
152,Delhi to Host Intergalactic Cricket League in 2029,FAKE
153,Congress woman leader beaten up by party workers for questioning decision to field 'rapist',REAL
154,Chennai to Host Hologram Elections in 2026,FAKE
155,Who is Kushboo Sundar: All you need to know about the South Superstar who turned politician,REAL
156,India Achieves Immortality for Citizens in 2027,FAKE
157,Bangalore to Host Intergalactic Cricket League in 2030,FAKE
158,"Amazon Great Indian Festival sale to last till Diwali, heavy discounts of upto 70 percent on offer",REAL
159, India Achieves Immortality for Citizens in 2026,FAKE
160,India Achieves 100% Solar Energy in 2026,FAKE
161,"Post Office Recruitment 2020: Big vacancy of over 1371 posts for 10th pass; check eligibility, pay scale",REAL
162,"Unlock 5.0: Schools in Uttar Pradesh to reopen from October 19, read rules and regulations here",REAL
163,"India, China to hold 7th Corps Commander-level talks today at Chushul",REAL
164, Mumbai to Host Intergalactic Cricket League in 2029,FAKE
165,PM Modi releases Balasaheb Vikhe Patil's autobiography,REAL
166,Tamil Nadu chief minister's mother passes away at 93,REAL
167, India Bans Rice Nationwide,FAKE
168,Delhi Authorities Discover Dinosaur DNA in Ganges,FAKE
169,"Nabanno Chalo: BJP slams Bengal police for using 'chemical-filled' water cannons, Mamata govt refutes charges",REAL
170,Indian Air Force Day 2020: Virat Kohli pays tribute to nationÕs heroes,REAL
171,"New Delhi-Lucknow Tejas Express to operate from October 17: Know train journey guidelines, book your ticket on IRCTC ",REAL
172,"Bihar woman gang-raped, thrown into river with 5-year-old son; child drowns",REAL
173,"Bihar Assembly Election 2020: BJP releases list of 30-star campaigners, PM Modi and JP Nadda top in list",REAL
174,EC issues revised guidelines for upcoming polls; limits number of star campaigners,REAL
175,All you need to know about high-security registration plate and colour-coded stickers,REAL
176,Mumbai Authorities Discover Teleportation Hub,FAKE
177,Hathras victim deserves justice not slander: Priyanka Gandhi,REAL
178,Zee News Editor-in-Chief Sudhir Chaudhary gets call from Pakistan again,REAL
179, Flat Earth Theory Declared National Science of India,FAKE
180,Kolkata to Host Hologram Elections in 2028,FAKE
181,CBI registers FIR against accused in Hathras gang-rape case; takes over investigation,REAL
182, Army Plans to Teleport to Moon,FAKE
183,Andhra govt complains to CJI against alleged intervention by sitting SC judge,REAL
184,US Election 2020: Kamala-Pence debate opens with clash over Trump administration's COVID-19 response,REAL
185,Bihar Assembly elections: BJP expels nine rebels for contesting elections against NDA candidates,REAL
186,Saagar is stupid,REAL
187,Reeja maam is cool,REAL
188,Reeja maam has good notes,REAL
